user_id,video_id,category,watched,liked,shared,followed,interaction_score
0,372,gaming,0,0,0,0,0.0
0,234,comedy,1,0,0,0,1.0
0,185,comedy,1,0,0,0,1.0
0,104,comedy,1,1,1,0,7.0
0,57,sports,1,0,0,0,1.0
0,246,sports,1,0,0,0,1.0
0,238,education,0,0,0,0,0.0
0,227,education,1,0,0,0,1.0
0,69,gaming,1,0,0,0,1.0
0,451,education,1,0,0,0,1.0
0,186,gaming,1,1,1,0,7.0
1,25,music,1,0,0,0,1.0
1,197,dance,1,0,0,0,1.0
1,203,comedy,1,1,0,0,3.0
1,293,comedy,1,1,0,0,3.0
1,132,comedy,1,1,0,0,3.0
1,52,music,1,1,0,0,3.0
1,153,sports,1,1,0,0,3.0
1,143,sports,1,0,0,0,1.0
1,448,sports,1,0,0,0,1.0
1,474,music,1,1,0,0,3.0
1,35,sports,1,1,1,0,7.0
1,239,sports,1,1,0,0,3.0
1,190,comedy,1,1,0,0,3.0
1,393,sports,1,0,0,1,4.0
2,158,music,1,1,0,0,3.0
2,95,comedy,1,0,0,0,1.0
2,157,travel,1,0,0,0,1.0
2,146,gaming,0,0,0,0,0.0
2,11,gaming,1,0,0,0,1.0
2,86,dance,1,0,0,0,1.0
2,43,education,1,0,0,0,1.0
2,154,sports,1,1,0,0,3.0
2,357,comedy,1,1,0,0,3.0
2,441,sports,1,0,0,0,1.0
3,481,comedy,1,0,0,0,1.0
3,392,sports,1,1,0,0,3.0
3,0,cooking,0,0,0,0,0.0
3,442,music,1,1,0,0,3.0
3,302,sports,0,0,0,0,0.0
3,434,travel,1,0,0,0,1.0
3,293,sports,1,0,0,0,1.0
3,131,music,0,0,0,0,0.0
3,488,sports,1,1,0,0,3.0
3,341,sports,1,1,0,0,3.0
3,91,travel,0,0,0,0,0.0
3,496,dance,1,1,0,0,3.0
3,291,music,1,1,0,0,3.0
3,4,comedy,1,1,0,0,3.0
3,44,travel,0,0,0,0,0.0
4,452,comedy,1,0,0,0,1.0
4,167,education,0,0,0,0,0.0
4,456,sports,1,0,0,0,1.0
4,313,education,1,1,0,0,3.0
4,133,education,1,0,0,0,1.0
4,101,comedy,0,0,0,0,0.0
4,202,comedy,1,0,0,0,1.0
4,482,travel,1,0,0,0,1.0
4,48,sports,1,1,0,0,3.0
5,395,cooking,1,0,0,0,1.0
5,106,gaming,1,0,0,0,1.0
5,166,sports,1,0,0,0,1.0
5,303,sports,1,0,0,0,1.0
5,63,travel,0,0,0,0,0.0
5,61,sports,1,0,0,0,1.0
5,370,sports,1,1,0,0,3.0
5,220,gaming,1,0,0,0,1.0
5,405,cooking,0,0,0,0,0.0
5,409,sports,1,1,0,1,6.0
5,143,sports,1,0,0,0,1.0
5,206,dance,1,1,0,0,3.0
5,51,sports,0,0,0,0,0.0
5,64,dance,0,0,0,0,0.0
6,151,gaming,1,1,0,0,3.0
6,357,education,1,0,0,0,1.0
6,45,sports,1,0,0,0,1.0
6,34,sports,0,0,0,0,0.0
6,327,music,1,1,0,0,3.0
6,266,dance,1,0,0,0,1.0
6,152,education,1,0,0,0,1.0
6,323,cooking,0,0,0,0,0.0
6,328,cooking,1,0,0,0,1.0
6,261,gaming,0,0,0,0,0.0
6,181,music,1,0,0,0,1.0
6,319,sports,1,1,0,0,3.0
6,158,gaming,1,0,0,0,1.0
6,280,music,1,0,0,0,1.0
7,0,cooking,1,1,0,0,3.0
7,344,gaming,1,1,0,0,3.0
7,218,music,1,1,0,0,3.0
7,172,travel,1,0,0,0,1.0
7,102,travel,1,0,0,0,1.0
7,457,comedy,0,0,0,0,0.0
7,119,travel,0,0,0,0,0.0
7,187,comedy,1,1,0,0,3.0
7,270,sports,1,1,0,0,3.0
7,329,travel,1,0,0,0,1.0
7,4,travel,1,0,0,0,1.0
7,199,travel,0,0,0,0,0.0
