feedback_id,visitor_id,rating,category,feedback_date,sentiment_score,would_recommend
1,44846,4,Value,2024-01-01 00:00:00,0.27012444415462966,1
2,17370,2,Food,2024-01-01 01:00:00,0.9395255607436087,1
3,14022,4,Food,2024-01-01 02:00:00,0.2605086441102943,0
4,48007,3,Animals,2024-01-01 03:00:00,0.24239417124528606,1
5,582,4,Facilities,2024-01-01 04:00:00,0.5600619919843529,1
6,42168,2,Staff,2024-01-01 05:00:00,0.11171346212171862,1
7,6995,5,Staff,2024-01-01 06:00:00,0.7865286954090499,1
8,11174,3,Value,2024-01-01 07:00:00,0.6461656409875449,1
9,4465,3,Animals,2024-01-01 08:00:00,0.18591877546594193,1
10,34876,4,Animals,2024-01-01 09:00:00,0.470842597003879,1
11,41637,1,Animals,2024-01-01 10:00:00,0.3030135714062899,1
12,6243,3,Value,2024-01-01 11:00:00,0.2829354516576895,0
13,27884,1,Value,2024-01-01 12:00:00,0.4345056838122271,0
14,3113,3,Animals,2024-01-01 13:00:00,0.10078538154199956,1
15,38966,3,Facilities,2024-01-01 14:00:00,0.37452078052470716,0
16,31934,4,Staff,2024-01-01 15:00:00,0.6004858817218641,1
17,25592,2,Staff,2024-01-01 16:00:00,0.09073038388808097,1
18,10106,4,Animals,2024-01-01 17:00:00,0.2842018199751245,1
19,3578,5,Facilities,2024-01-01 18:00:00,0.5691408362315954,0
20,7386,4,Animals,2024-01-01 19:00:00,0.4561173266135202,1
21,11531,4,Value,2024-01-01 20:00:00,0.8074211488791712,1
22,41588,3,Value,2024-01-01 21:00:00,0.15969601653593135,1
23,35177,2,Facilities,2024-01-01 22:00:00,0.2696007195334321,1
24,9697,4,Facilities,2024-01-01 23:00:00,0.9252020288632047,1
25,44738,4,Food,2024-01-02 00:00:00,0.8375262904116301,1
26,40957,3,Staff,2024-01-02 01:00:00,0.9761543204522385,1
27,2524,3,Staff,2024-01-02 02:00:00,0.7858189615176453,1
28,49818,5,Animals,2024-01-02 03:00:00,0.987717107665509,1
29,49323,5,Staff,2024-01-02 04:00:00,0.8325504326377104,1
30,4982,5,Animals,2024-01-02 05:00:00,0.4967131455501609,1
31,7504,5,Animals,2024-01-02 06:00:00,0.6216665159082528,1
32,28752,4,Food,2024-01-02 07:00:00,0.3424312912621732,1
33,196,5,Value,2024-01-02 08:00:00,0.7992885550596632,1
