query_id,query_text,relevance_score
1,Sample query 1,0.4304790556478967
2,Sample query 2,0.8023807366364576
3,Sample query 3,0.9636301779931872
4,Sample query 4,0.303905004672665
5,Sample query 5,0.16537038768672385
6,Sample query 6,0.11544991817004346
7,Sample query 7,0.5393999055879626
8,Sample query 8,0.9289310120113483
9,Sample query 9,0.5546748292015445
10,Sample query 10,0.3923470228592525
11,Sample query 11,0.2169717498466941
12,Sample query 12,0.044118086923196076
13,Sample query 13,0.20887185591656954
14,Sample query 14,0.14609849670386132
15,Sample query 15,0.39918961487938387
16,Sample query 16,0.4240995866436993
17,Sample query 17,0.19059824773666478
18,Sample query 18,0.2279461311607699
19,Sample query 19,0.8283578177695231
20,Sample query 20,0.07358480877973383
21,Sample query 21,0.5815919327589713
22,Sample query 22,0.6042734357434035
23,Sample query 23,0.04975472399049119
24,Sample query 24,0.6827054207150124
25,Sample query 25,0.7938452752933752
26,Sample query 26,0.3313841909580535
27,Sample query 27,0.538215274879977
28,Sample query 28,0.15125211061357413
29,Sample query 29,0.6456668912242145
30,Sample query 30,0.921722315347127
31,Sample query 31,0.24986092610620525
32,Sample query 32,0.855167991375176
33,Sample query 33,0.670950045418745
34,Sample query 34,0.13118141880930012
35,Sample query 35,0.7041875171441973
36,Sample query 36,0.0642522829062413
37,Sample query 37,0.31571918354659545
38,Sample query 38,0.6758654060995876
39,Sample query 39,0.7011296036127823
40,Sample query 40,0.046535189341568084
41,Sample query 41,0.7188269681590228
42,Sample query 42,0.6637911568737886
43,Sample query 43,0.05444884415025886
44,Sample query 44,0.4625688919961678
45,Sample query 45,0.046844956703646634
46,Sample query 46,0.4218856531206061
47,Sample query 47,0.5513075779998349
48,Sample query 48,0.9835765777800348
49,Sample query 49,0.14657577412179723
50,Sample query 50,0.8225076773024288
51,Sample query 51,0.37613010349507214
52,Sample query 52,0.08840406578844118
53,Sample query 53,0.32037590904307756
54,Sample query 54,0.731582901022084
55,Sample query 55,0.5159620349995042
56,Sample query 56,0.17730609650845863
57,Sample query 57,0.7719313735444393
58,Sample query 58,0.6509161467245311
59,Sample query 59,0.24390149515158244
60,Sample query 60,0.7707493080561054
61,Sample query 61,0.9863708377222559
62,Sample query 62,0.01847423948399818
63,Sample query 63,0.9883728490065185
64,Sample query 64,0.2961642966247884
65,Sample query 65,0.510280775821121
66,Sample query 66,0.3345512519578855
67,Sample query 67,0.6300617410312819
68,Sample query 68,0.7946835276457631
69,Sample query 69,0.09253088053401548
70,Sample query 70,0.3577412082222936
71,Sample query 71,0.4316798021139776
72,Sample query 72,0.972029999961717
73,Sample query 73,0.5203235005164691
74,Sample query 74,0.7190787606245501
75,Sample query 75,0.758836076981098
76,Sample query 76,0.271116183115101
77,Sample query 77,0.732233089336497
78,Sample query 78,0.6121377135884548
79,Sample query 79,0.6641555147074091
80,Sample query 80,0.9006908374795694
81,Sample query 81,0.431378456235362
82,Sample query 82,0.24942675009223447
83,Sample query 83,0.9064797885400384
84,Sample query 84,0.38134319171508324
85,Sample query 85,0.4734121104858653
86,Sample query 86,0.9263447443773958
87,Sample query 87,0.6826125803673389
88,Sample query 88,0.7127505865496453
89,Sample query 89,0.2599501136288259
90,Sample query 90,0.09827838110469078
91,Sample query 91,0.9491141556252445
92,Sample query 92,0.26038493627596815
93,Sample query 93,0.4217820874778433
94,Sample query 94,0.15200679574204212
95,Sample query 95,0.6649465318421112
96,Sample query 96,0.6942357852444028
97,Sample query 97,0.9567006807523706
98,Sample query 98,0.043784626364888
99,Sample query 99,0.07582321246116963
100,Sample query 100,0.23504844500947963
