doc_id,doc_type,file_size_kb,page_count,quality_score,ocr_confidence,ingestion_timestamp,source_department,processing_status
DOC_000001,Contracts,107,10,0.8124763820628842,0.6317560114345803,2024-01-01 00:00:00,Sales,Completed
DOC_000002,Spreadsheets,565,10,0.6401527372715863,0.7267016733171798,2024-01-01 00:01:00,HR,Pending
DOC_000003,Images_Scanned,402,9,0.4834681342152788,0.6185815429468083,2024-01-01 00:02:00,Legal,Completed
DOC_000004,Images_Scanned,1179,10,0.8927320742697085,0.6680698847433759,2024-01-01 00:03:00,Legal,Completed
DOC_000005,Contracts,58,9,0.6910653828971752,0.9081682164957162,2024-01-01 00:04:00,HR,Failed
DOC_000006,Invoices,722,15,0.7944386294820696,0.5901685986797665,2024-01-01 00:05:00,Legal,Completed
DOC_000007,Images_Scanned,1511,9,0.613817923172489,0.963297724260806,2024-01-01 00:06:00,R&D,Completed
DOC_000008,Invoices,578,9,0.5642873647522272,0.644311040344113,2024-01-01 00:07:00,Operations,Completed
DOC_000009,Invoices,508,10,0.698196739702306,0.8718051916305221,2024-01-01 00:08:00,Sales,Failed
DOC_000010,Contracts,48,8,0.8047342620099204,0.8701727547029241,2024-01-01 00:09:00,Legal,Pending
DOC_000011,Invoices,147,10,0.9107343903202989,0.5193706250947953,2024-01-01 00:10:00,R&D,Completed
DOC_000012,Invoices,1424,7,0.8550319559933109,0.8913337095964067,2024-01-01 00:11:00,HR,Completed
DOC_000013,PDF_Reports,278,5,0.8459021278483482,0.8817335626158662,2024-01-01 00:12:00,HR,Completed
DOC_000014,Invoices,205,10,0.7205219368298842,0.785579438414213,2024-01-01 00:13:00,Operations,Completed
DOC_000015,Images_Scanned,65,13,0.7016102204398025,0.8309319941397073,2024-01-01 00:14:00,R&D,Completed
DOC_000016,Images_Scanned,1058,7,0.6158051716121749,0.765814811182692,2024-01-01 00:15:00,Legal,Completed
DOC_000017,Contracts,431,5,0.6050800496927541,0.8580683749157099,2024-01-01 00:16:00,Operations,Completed
DOC_000018,Contracts,128,9,0.5786374496218741,0.8458503251405657,2024-01-01 00:17:00,HR,Completed
DOC_000019,Spreadsheets,421,10,0.7747267686817199,0.9009125459312018,2024-01-01 00:18:00,R&D,Pending
DOC_000020,PDF_Reports,948,12,0.926696646864278,0.6776249473303904,2024-01-01 00:19:00,R&D,Processing
DOC_000021,PDF_Reports,157,9,0.6877455676212567,0.667954560775149,2024-01-01 00:20:00,Finance,Completed
DOC_000022,Invoices,38,6,0.8966927100298305,0.6632940043779,2024-01-01 00:21:00,Sales,Completed
DOC_000023,Invoices,240,11,0.8207538526140888,0.9269037370715378,2024-01-01 00:22:00,HR,Completed
DOC_000024,Contracts,160,9,0.8707839567501464,0.8369173620144652,2024-01-01 00:23:00,HR,Completed
DOC_000025,Invoices,639,10,0.4870183838700819,0.8726372215431581,2024-01-01 00:24:00,Sales,Processing
DOC_000026,Images_Scanned,298,4,0.7994340179253006,0.8030574548292863,2024-01-01 00:25:00,HR,Completed
DOC_000027,Contracts,986,3,0.7475542492052643,0.9621216410478023,2024-01-01 00:26:00,R&D,Completed
DOC_000028,Spreadsheets,937,8,0.5902511772912772,0.6666393358199151,2024-01-01 00:27:00,HR,Completed
DOC_000029,Invoices,225,8,0.4210601751282918,0.86202768810927,2024-01-01 00:28:00,Finance,Completed
DOC_000030,Spreadsheets,237,11,0.8163212754556722,0.8272983023957218,2024-01-01 00:29:00,HR,Completed
DOC_000031,Invoices,598,12,0.6682335921538689,0.6850924024352179,2024-01-01 00:30:00,Sales,Failed
DOC_000032,Images_Scanned,502,3,0.37742803828522714,0.9293143029591626,2024-01-01 00:31:00,Finance,Failed
DOC_000033,Contracts,1757,10,0.7801370390009066,0.8647508158309688,2024-01-01 00:32:00,Operations,Completed
DOC_000034,Images_Scanned,664,11,0.9596648510396257,0.6690674162161518,2024-01-01 00:33:00,Sales,Completed
DOC_000035,Contracts,109,8,0.6449827617312845,0.7995477134239976,2024-01-01 00:34:00,Legal,Completed
DOC_000036,Invoices,990,5,0.6656642329762142,0.9320912005095608,2024-01-01 00:35:00,R&D,Completed
DOC_000037,Spreadsheets,137,6,0.6096233638920254,0.7693128962518377,2024-01-01 00:36:00,Operations,Completed
DOC_000038,Images_Scanned,563,7,0.7999301487552841,0.8750656421993395,2024-01-01 00:37:00,Legal,Completed
DOC_000039,PDF_Reports,30,9,0.747882369243627,0.9242665828054246,2024-01-01 00:38:00,Operations,Processing
DOC_000040,Invoices,1065,10,0.6412956975467912,0.8998301615771026,2024-01-01 00:39:00,Finance,Completed
DOC_000041,Images_Scanned,538,6,0.6724281716135986,0.6018228588655137,2024-01-01 00:40:00,Sales,Processing
DOC_000042,Images_Scanned,737,11,0.6838629193766541,0.9717081768599598,2024-01-01 00:41:00,Legal,Completed
DOC_000043,Invoices,562,9,0.6262017009249606,0.8847124634745605,2024-01-01 00:42:00,Finance,Completed
DOC_000044,Invoices,44,7,0.7614351271578735,0.9303654937689679,2024-01-01 00:43:00,HR,Pending
DOC_000045,PDF_Reports,1234,7,0.7495631414426674,0.8720963125611318,2024-01-01 00:44:00,HR,Completed
DOC_000046,Images_Scanned,267,11,0.7937417431961794,0.7230539499392517,2024-01-01 00:45:00,HR,Completed
DOC_000047,Contracts,237,10,0.49022083276532097,0.9320295917516502,2024-01-01 00:46:00,Operations,Completed
DOC_000048,Images_Scanned,1086,5,0.8215395397414575,0.7353227005840978,2024-01-01 00:47:00,Sales,Completed
DOC_000049,PDF_Reports,1029,6,0.6169018031569942,0.9602597585274469,2024-01-01 00:48:00,Finance,Processing
DOC_000050,PDF_Reports,591,8,0.6916775834073277,0.8344707116242531,2024-01-01 00:49:00,Finance,Failed
DOC_000051,PDF_Reports,152,7,0.7195514449557583,0.8189639520201686,2024-01-01 00:50:00,R&D,Completed
DOC_000052,Spreadsheets,503,10,0.7455661763613041,0.9409231879710149,2024-01-01 00:51:00,Sales,Completed
DOC_000053,Invoices,395,5,0.4357590872822371,0.9154263774971688,2024-01-01 00:52:00,HR,Completed
DOC_000054,PDF_Reports,717,11,0.76833880969926,0.711603570687602,2024-01-01 00:53:00,R&D,Processing
DOC_000055,Images_Scanned,97,6,0.9729480980574639,0.8693058228959586,2024-01-01 00:54:00,Sales,Processing
DOC_000056,Images_Scanned,647,14,0.8952131736639515,0.7601341644408885,2024-01-01 00:55:00,Legal,Processing
DOC_000057,Spreadsheets,350,8,0.6731849270739998,0.9466576280734761,2024-01-01 00:56:00,Finance,Completed
DOC_000058,Spreadsheets,196,7,0.7244273586115147,0.7359264431815484,2024-01-01 00:57:00,HR,Completed
DOC_000059,Spreadsheets,226,7,0.8550637518922026,0.8893765596147263,2024-01-01 00:58:00,R&D,Completed
DOC_000060,Contracts,641,11,0.485767642668812,0.7221805175074234,2024-01-01 00:59:00,Legal,Completed
DOC_000061,PDF_Reports,989,13,0.6039653373131486,0.6199698935506925,2024-01-01 01:00:00,Operations,Completed
DOC_000062,PDF_Reports,785,11,0.9638918191837541,0.823044133725214,2024-01-01 01:01:00,Legal,Failed
DOC_000063,Invoices,60,9,0.8081440740353508,0.6860314648898609,2024-01-01 01:02:00,Operations,Processing
DOC_000064,Invoices,497,8,0.8400269162552263,0.7667510408867513,2024-01-01 01:03:00,R&D,Completed
DOC_000065,Invoices,10,5,0.7160727946233973,0.6953504290082082,2024-01-01 01:04:00,Finance,Completed
DOC_000066,Contracts,108,10,0.7203441889728761,0.6187396649181176,2024-01-01 01:05:00,HR,Completed
DOC_000067,Invoices,388,10,0.8224096858177942,0.8017715097839949,2024-01-01 01:06:00,R&D,Completed
DOC_000068,Images_Scanned,621,5,0.5283189255523356,0.6051034988801769,2024-01-01 01:07:00,Finance,Completed
DOC_000069,Spreadsheets,157,6,0.8886240607025904,0.8586010458298325,2024-01-01 01:08:00,Finance,Completed
DOC_000070,Contracts,180,5,0.6817350494522475,0.9043958419331487,2024-01-01 01:09:00,Finance,Completed
DOC_000071,Spreadsheets,61,11,0.6083517625543072,0.7027636416060276,2024-01-01 01:10:00,R&D,Completed
DOC_000072,Invoices,1047,5,0.8745452424903111,0.9275535438115227,2024-01-01 01:11:00,Legal,Completed
